source,target,actors_common,genres_common,similaridade,rating_media,peso,peso_bf
tt0014508,tt0014875,6,2,14,2.45,0.071429,0.071429
tt0014973,tt0015280,6,2,14,0.0,0.071429,0.071429
tt0005328,tt0005908,6,1,13,2.15,0.076923,0.076923
tt0005623,tt0006000,6,1,13,0.0,0.076923,0.076923
tt0005426,tt0006025,6,0,12,0.0,0.083333,0.083333
tt0024902,tt0025455,6,2,14,5.25,0.071429,0.071429
tt0006685,tt0007028,6,1,13,0.0,0.076923,0.076923
tt0026046,tt0028850,6,2,14,6.75,0.071429,0.071429
tt0006680,tt0007028,6,1,13,0.0,0.076923,0.076923
tt0011353,tt0011546,6,1,13,3.3,0.076923,0.076923
tt0029126,tt0029687,6,2,14,6.1,0.071429,0.071429
tt0013506,tt0014055,6,0,12,3.35,0.083333,0.083333
tt0012417,tt0012491,6,1,13,0.0,0.076923,0.076923
tt0012443,tt0013227,6,1,13,2.6,0.076923,0.076923
tt0007097,tt0008297,6,1,13,0.0,0.076923,0.076923
tt0015082,tt0016260,6,1,13,0.0,0.076923,0.076923
tt0015082,tt0016456,6,1,13,0.0,0.076923,0.076923
tt0020665,tt0022555,6,1,13,2.95,0.076923,0.076923
tt0007617,tt0009721,6,0,12,5.9,0.083333,0.083333
tt0009055,tt0009721,6,1,13,3.3,0.076923,0.076923
tt0020197,tt0021297,6,2,14,5.85,0.071429,0.071429
tt0026240,tt0027108,6,2,14,4.9,0.071429,0.071429
tt0015619,tt0016056,6,2,14,0.0,0.071429,0.071429
tt0022397,tt0022414,6,2,14,5.8,0.071429,0.071429
tt0016260,tt0016539,6,1,13,0.0,0.076923,0.076923
tt0016260,tt0016659,6,1,13,0.8,0.076923,0.076923
tt0016659,tt0017570,6,2,14,0.8,0.071429,0.071429
tt0024314,tt0024559,6,1,13,6.55,0.076923,0.076923
tt0012548,tt0013125,6,0,12,6.95,0.083333,0.083333
tt0027724,tt0028582,6,3,15,5.15,0.066667,0.066667
tt0011834,tt0011898,6,0,12,2.6,0.083333,0.083333
tt0020723,tt0020737,6,2,14,3.05,0.071429,0.071429
tt0029321,tt0029505,6,2,14,6.65,0.071429,0.071429
tt0026301,tt0027077,6,2,14,6.8,0.071429,0.071429
tt0016118,tt0016119,6,0,12,0.0,0.083333,0.083333
tt0010100,tt0011817,6,0,12,0.0,0.083333,0.083333
tt0018687,tt0019046,6,0,12,0.0,0.083333,0.083333
tt0027326,tt0027584,6,1,13,5.5,0.076923,0.076923
tt0027567,tt0027584,6,1,13,5.75,0.076923,0.076923
tt0027584,tt0028627,6,1,13,5.6,0.076923,0.076923
tt0027584,tt0028655,6,1,13,5.75,0.076923,0.076923
tt0027584,tt0029023,6,1,13,5.2,0.076923,0.076923
tt0027584,tt0029332,6,1,13,5.9,0.076923,0.076923
tt0024805,tt0025373,6,2,14,5.1,0.071429,0.071429
tt0025373,tt0025699,6,1,13,5.2,0.076923,0.076923
tt0029485,tt0029694,6,2,14,5.0,0.071429,0.071429
tt0027648,tt0027926,6,0,12,2.95,0.083333,0.083333
tt0027393,tt0028324,6,2,14,5.95,0.071429,0.071429
tt0028324,tt0029696,6,2,14,5.9,0.071429,0.071429
tt0023923,tt0028312,6,1,13,5.9,0.076923,0.076923
tt0027411,tt0027651,6,0,12,0.0,0.083333,0.083333
tt0013931,tt0014230,6,2,14,0.0,0.071429,0.071429
tt0022207,tt0023572,6,0,12,6.75,0.083333,0.083333
tt0028879,tt0029176,6,1,13,4.8,0.076923,0.076923
tt0029485,tt0029568,6,2,14,4.7,0.071429,0.071429
tt0028274,tt0029351,6,2,14,5.55,0.071429,0.071429
tt0026908,tt0027087,6,2,14,5.2,0.071429,0.071429
tt0020508,tt0020510,6,0,12,7.0,0.083333,0.083333
tt0017025,tt0019026,6,1,13,6.85,0.076923,0.076923
tt0028587,tt0029668,6,1,13,5.85,0.076923,0.076923
tt0019777,tt0020640,6,2,14,7.1,0.071429,0.071429
tt0019777,tt0023969,6,2,14,7.25,0.071429,0.071429
tt0020640,tt0023969,6,2,14,7.55,0.071429,0.071429
tt0022158,tt0023027,6,3,15,7.45,0.066667,0.066667
tt0020052,tt0023634,6,1,13,6.75,0.076923,0.076923
tt0028462,tt0028673,6,1,13,0.0,0.076923,0.076923
tt0025230,tt0025805,6,1,13,5.85,0.076923,0.076923
tt0020230,tt0020353,6,2,14,6.95,0.071429,0.071429
tt0023906,tt0024028,6,2,14,7.2,0.071429,0.071429
tt0026306,tt0028487,6,1,13,6.65,0.076923,0.076923
tt0019221,tt0019543,6,0,12,5.55,0.083333,0.083333
tt0029063,tt0029518,6,0,12,0.0,0.083333,0.083333
tt0022125,tt0022877,6,2,14,7.75,0.071429,0.071429
tt0028932,tt0029438,6,1,13,3.05,0.076923,0.076923
tt0025813,tt0026801,6,0,12,0.0,0.083333,0.083333
tt0028114,tt0029111,6,0,12,5.15,0.083333,0.083333
tt0029097,tt0029111,6,0,12,5.3,0.083333,0.083333
tt0029336,tt0029853,6,1,13,5.7,0.076923,0.076923
tt0005240,tt0006419,5,0,10,2.05,0.1,0.1
tt0004231,tt0004345,5,0,10,2.15,0.1,0.1
tt0007755,tt0009690,5,1,11,5.05,0.090909,0.090909
tt0008271,tt0008634,5,1,11,5.2,0.090909,0.090909
tt0009153,tt0009580,5,1,11,5.65,0.090909,0.090909
tt0009580,tt0009690,5,1,11,4.65,0.090909,0.090909
