tconst,titulo,ano,generos,nota,diretores
tt0003504,Der Verführte,1913,,,nm0643138|nm0753233|nm2827911
tt0003507,The Vicar of Wakefield,1913,Drama,,nm0933406
tt0003545,Who Will Marry Mary?,1913,"Action,Adventure",5.0,nm0250480
tt0003561,With General Pancho Villa in Mexico,1913,,,
tt0003565,Where Is Coletti?,1913,"Comedy,Crime",6.4,nm0533048
tt0003576,The Wreck,1913,Drama,,nm0408433
tt0003584,"The $5, 000, 000 Counterfeiting Plot",1914,"Crime,Thriller",7.0,nm0365493
tt0003589,0-18 or A Message from the Sky,1914,"Crime,Drama",6.2,nm0875869
tt0003595,Across the Pacific,1914,"Adventure,Drama,Romance",4.5,nm0136888
tt0003596,The Active Life of Dolly of the Dailies,1914,Drama,6.1,nm0250480
tt0003597,Adoptivkind,1914,,,nm0081288
tt0003599,The Adventures of Buffalo Bill,1917,"Documentary,Drama,Western",6.4,
tt0003602,The Adventures of a Diplomatic Freelance,1914,,,nm0838074
tt0003605,After the Ball,1914,Drama,6.0,nm0455544
tt0003606,Aftermath,1914,Drama,,
tt0003608,El alcalde de Zalamea,1914,,4.0,nm0345217|nm0813682
tt0003609,Alexandra,1914,"Drama,Romance",5.2,nm0823150
tt0003610,Alexia o La niña del misterio,1916,,,nm0550220
tt0003623,Amor de pescadora,1914,,,nm0865601
tt0003625,Anna Karenina,1914,Drama,5.2,nm0306723
tt0003630,Golddigger,1914,"Drama,Western",4.6,nm0002031
tt0003631,Aristocracy,1914,Drama,,nm0373614
tt0003632,Arme Eva,1916,Drama,6.1,nm0074112|nm0927468
tt0003634,As Ye Sow,1914,Drama,,nm0186345
tt0003637,Assunta Spina,1915,Drama,6.2,nm0078116|nm0784988
tt0003639,At the Cross Roads,1914,Drama,,nm0213108
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,"Crime,Drama,Horror",6.4,nm0000428
tt0003651,Badehotellet,1915,Drama,7.0,
tt0003655,The Banker's Daughter,1914,Drama,,nm0352726|nm0743047
tt0003657,The Bargain,1914,"Drama,Western",6.5,nm0054977
tt0003664,The Battle of Love,1914,Drama,,
tt0003665,The Battle of the Sexes,1914,Drama,6.3,nm0000428
tt0003668,Beating Back,1914,"Adventure,Biography,Drama",5.7,nm0281621
tt0003669,A becsapott újságíró,1915,,,nm0466099|nm0956428
tt0003670,Behind the Scenes,1914,Drama,6.5,nm0456804
tt0003672,La Belle Russe,1914,Drama,,nm0360114
tt0003676,Beneath the Czar,1914,Drama,,nm0349785
tt0003677,The Better Man,1914,Drama,,nm0694640
tt0003685,Det blaa vidunder,1915,Comedy,,nm0491503
tt0003686,The Boer War,1914,Drama,6.2,nm0577654
tt0003689,Born Again,1914,Drama,,
tt0003692,The Boundary Rider,1914,"Adventure,Crime",6.5,nm0923594|nm0923603
tt0003698,Brewster's Millions,1914,Comedy,6.1,nm0001124|nm0002177
tt0003724,In the Days of the Thundering Herd,1914,"Drama,Western",5.4,nm0132324|nm0334918
tt0003730,The Burglar and the Lady,1914,"Crime,Drama",,nm0085133
